source,unique_id,barrel
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-6,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 2/Variability - Round 1 - Barrel Orange - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-6,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 3/Variability - Round 1 - Barrel Orange - Bullet 3 - Land 5 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-6,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-4,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 2/Variability - Round 1 - Barrel Orange - Bullet 2 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-4,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 3/Variability - Round 1 - Barrel Orange - Bullet 3 - Land 3 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-4,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 1/Variability - Round 1 - Barrel Orange - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-1,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 2/Variability - Round 1 - Barrel Orange - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-1,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Orange/Bullet 3/Variability - Round 1 - Barrel Orange - Bullet 3 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL O-1,Barrel Orange
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-6,Barrel Pink
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 2/Variability - Round 1 - Barrel Pink - Bullet 2 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-6,Barrel Pink
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 3/Variability - Round 1 - Barrel Pink - Bullet 3 - Land 4 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-6,Barrel Pink
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 1/Variability - Round 1 - Barrel Pink - Bullet 1 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-2,Barrel Pink
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 2/Variability - Round 1 - Barrel Pink - Bullet 2 - Land 2 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-2,Barrel Pink
/media/Raven/Variability/Connor/Round 1/Sneox1/Pink/Bullet 3/Variability - Round 1 - Barrel Pink - Bullet 3 - Land 6 - Sneox1 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p,BL P-2,Barrel Pink
